,event_type,details_api,title,location,image
67,entertainment,https://tik8.com/event/رول-گلایدر-دریاچه-خلیج-فارس/,رول گلایدر دریاچه خلیج فارس,مجموعه تفریحی دریاچه خلیج فارس,https://mno.tik8.com/thumbnail/2019-7/7c6c87c0-a879-11e9-937a-e947fc6fe7bb.jpg
68,entertainment,https://tik8.com/event/کایاک-VR-دریاچه-خلیج-فارس/,کایاک VR دریاچه خلیج فارس,مجموعه تفریحی دریاچه خلیج فارس,https://mno.tik8.com/thumbnail/2019-7/9db7cdc0-9d89-11e9-8197-73f089ead1e4.jpg
69,entertainment,https://tik8.com/event/موج-سواری-VR-دریاچه-خلیج-فارس/,موج سواری VR دریاچه خلیج فارس,مجموعه تفریحی دریاچه خلیج فارس,https://mno.tik8.com/thumbnail/2019-7/a6b15010-9d89-11e9-80cf-b734d780c5ff.jpg
70,entertainment,https://tik8.com/event/ماشین-کوبنده-دریاچه-خلیج-فارس/,ماشین کوبنده دریاچه خلیج فارس,مجموعه تفریحی دریاچه خلیج فارس,https://mno.tik8.com/thumbnail/2019-7/19641570-9d8b-11e9-92c7-bb05ec147deb.jpg
71,entertainment,https://tik8.com/event/سافاری-وحشت-دریاچه-خلیج-فارس/,سافاری وحشت دریاچه خلیج فارس,مجموعه تفریحی دریاچه خلیج فارس,https://mno.tik8.com/thumbnail/2019-7/3ce54780-9d8b-11e9-a820-1facaf1da1be.jpg
72,entertainment,https://tik8.com/event/اسکیت-U-دریاچه-خلیج-فارس/,اسکیت U دریاچه خلیج فارس,مجموعه تفریحی دریاچه خلیج فارس,https://mno.tik8.com/thumbnail/2019-7/55270d90-9d8b-11e9-8707-d90092a2a792.jpg
73,entertainment,https://tik8.com/event/بلیط-سینما-پرواز-سورتمه-تهران/,سینما پرواز سورتمه تهران,مجموعه سورتمه دربند تهران,https://mno.tik8.com/thumbnail/2019-7/f71b0d70-a0b8-11e9-be96-993c29a089b1.jpg
74,entertainment,https://tik8.com/event/ماشین-کوبنده-سورتمه-تهران/,ماشین کوبنده سورتمه تهران,مجموعه سورتمه دربند تهران,https://mno.tik8.com/thumbnail/2019-7/504b2d80-a0b8-11e9-b319-adaddf8fdd27.jpg
75,entertainment,https://tik8.com/event/سافاری-وحشت-سورتمه-تهران/,سافاری وحشت سورتمه تهران,مجموعه سورتمه دربند تهران,https://mno.tik8.com/thumbnail/2019-7/38672aa0-a0b7-11e9-a983-21ece905e1ea.jpg
76,entertainment,https://tik8.com/event/قایق-پرشی-نهج-البلاغه/,قایق پرشی نهج البلاغه,بوستان نهج البلاغه,https://mno.tik8.com/thumbnail/2019-7/6e7872d0-a0af-11e9-87a5-67a18fa9c28b.jpg
