,event_type,details_api,title,location,image
149,escape-room,https://tik8.com/event/اتاق-فرار-گروگان-اسکیپ-هوم/,اتاق فرار گروگان,اسکیپ هوم,https://mno.tik8.com/thumbnail/2019-10/cd4062f0-f570-11e9-a3e0-1361977975f3.jpg
150,escape-room,https://tik8.com/event/اتاق-فرار-خانه-اشباح-اسکیپ-هوم/,اتاق فرار خانه اشباح,اسکیپ هوم,https://mno.tik8.com/thumbnail/2019-10/21f93960-f572-11e9-b7e8-ff24b1c46ce9.jpg
151,escape-room,https://tik8.com/event/اتاق-فرار-ماموریت-غیرممکن-اسکیپ-هوم/,اتاق فرار ماموریت غیرممکن,اسکیپ هوم,https://mno.tik8.com/thumbnail/2019-10/371b3390-f574-11e9-ad68-3b59e7937641.jpg
152,escape-room,https://tik8.com/event/اتاق-فرار-پاپوش-اسکیپ-هوم/,اتاق فرار پاپوش,اسکیپ هوم,https://mno.tik8.com/thumbnail/2019-10/3b7f6610-f574-11e9-b637-8f4eae2e0a49.jpg
153,escape-room,https://tik8.com/event/اتاق-فرار-سلول-انفرادی-مجموعه-اتاق-فرار-تهرومز/,اتاق فرار سلول انفرادی,مجموعه اتاق فرار تهرومز,https://mno.tik8.com/thumbnail/2019-10/c06329b0-e4ec-11e9-b59f-3748f7233585.jpg
154,escape-room,https://tik8.com/event/اتاق-فرار-تنگنا-دالون/,اتاق فرار تنگنا,اتاق فرار دالون,https://mno.tik8.com/thumbnail/2019-9/81b16f50-dddc-11e9-b2c9-09eef666724d.jpg
155,escape-room,https://tik8.com/event/اتاق-فرار-کسل-مجموعه-اسکیپ-کسل/,اتاق فرار کسل,مجموعه اتاق فرار اسکیپ کسل,https://mno.tik8.com/thumbnail/2019-9/82c41220-dab0-11e9-a062-2f3c25fd54cd.jpg
156,escape-room,https://tik8.com/event/فرار-از-جنون-اتاق-فرار-تونل/,اتاق فرار جنون,مجموعه فرار از تونل,https://mno.tik8.com/thumbnail/2019-9/b4443a40-dd18-11e9-9ae1-61f21b80bc8b.jpg
157,escape-room,https://tik8.com/event/فرار-از-مردگان-متحرک-اتاق فرار-اسکیپ-مستر/,اتاق فرار مردگان متحرک,اتاق فرار اسکیپ مستر,https://mno.tik8.com/thumbnail/2019-9/c0780230-dd18-11e9-93ef-ebd1cf693285.jpg
158,escape-room,https://tik8.com/event/فرار-از-قاتل-سریالی-اتاق-فرار-اسکیپ-مستر/,اتاق فرار قاتل سریالی,اتاق فرار اسکیپ مستر,https://mno.tik8.com/thumbnail/2019-9/cc8056b0-dd18-11e9-8331-bb3a93be7795.jpg
159,escape-room,https://tik8.com/event/فرار-از-تله-اتاق-فرار-دالون/,اتاق فرار تله مرگ,اتاق فرار دالون,https://mno.tik8.com/thumbnail/2019-7/c5339060-9fbc-11e9-9cc3-53a9aa5490b9.jpg
